종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
라이트론,,,,,,,,,,,
라이프사이언스테크놀로지,,,,,,,,,,,
래몽래인,,,,,,,,,,,
럭슬,,,,,,,,,,,
럭스피아,,,,,,,,,,,
레드로버,,,,,,,,,,,
렌딩머신,,,,,,,,,,,
로보쓰리,+11,,,,,,,,,,-1
로스웰,+73,-74,,,,,,,,,
루멘스,-24,+13,,,,,,,,,+12
루켄테크놀러지스,+120,,-119,,,-119,,,,,-1
루트락,,,,,,,,,,,
루트로닉,-403,+400,-89,-63,,-25,,,,-2,+60
루트로닉3우C,,,,,,,,,,,
리더스 기술투자,+565,-761,,,,,,,,,+193
리더스코스메틱,-25,+19,+5,+5,,,,,,,
릭스솔루션,+64,+2,,,,,,,,,-65
마이더스AI,-30,+22,,,,,,,,,+5
매직마이크로,,,,,,,,,,,
맥스로텍,,,,,,,,,,,
메디쎄이,+51,-51,,,,,,,,,
메디안디노스틱,,,,,,,,,,,
메디앙스,,,,,,,,,,,
메디젠휴먼케어,,,,,,,,,,,
메디콕스,+69,-3,,,,,,,,,-65
메디톡스,+2289,-2210,-87,-104,-1,,,-9,+202,-174,-7
메이슨캐피탈,-283,+301,-15,-13,,,,,,-3,-3
메카로,+70,-46,,,,,,,,,-24
멕아이씨에스,+40,+12,-50,,,,,,-50,,+1
멜파스,-320,+320,,,,,,,,,+11
명성티엔에스,,,,,,,,,,,
명진홀딩스,,,,,,,,,,,
모트렉스,+151,-89,,,,,,,,,-61
무진메디,,,,,,,,,,,
미래에셋대우스팩4호,+18,-13,,,,,,,,,
미래엔에듀파트너,,,,,,,,,,,
미래테크놀로지,-7,-1,+9,,,+9,,,,,
미애부,,,,,,,,,,,
바른손,+24,-26,,,,,,,,,+1
바른손이앤에이,-121,+93,,,,,,,,,+4
바른전자,,,,,,,,,,,
바이넥스,+7010,-6457,-298,+44,+409,-2045,,,+774,+521,-145
바이오시네틱스,-3,,,,,,,,,,
바이오인프라생명과학,+110,,-8,,,,,,,-8,-102
바이온,+15,-14,,,,,,,,,
바이오프로테크,,,,,,,,,,,
바이오리더스,+334,-130,,,,,,,,,+210
바이옵트로,,,,,,,,,,,
박셀바이오,+497,-527,,+20,,,,,-18,-2,+191
버킷스튜디오,+85,-85,,,,,,,,,
베노홀딩스,+38,-51,+3,+3,,,,,,,+3
베셀,+21,-15,,,,,,,,,
베스파,+287,-130,-157,,,,,,,-157,
볼빅,,,,,,,,,,,
부방,-403,+337,,,,,,,,,+68
블러썸엠앤씨,,,,,,,,,,,
블루베리 NFT,+64,+68,,,,,,,,,-131
비디아이,-35,+29,+2,+2,,,,,,,+9
비보존 헬스케어,-173,+164,,,,,,,,,+11
비에이치아이,+327,-271,,,,,,,,,-110
비엔디생활건강,,,,,,,,,,,
비츠로시스,,,,,,,,,,,
비플라이소프트,+15,,,,,,,,,,+5
빅텐츠,,,,,,,,,,,
뿌리깊은나무들,,,,,,,,,,,
삼강엠앤티,-1187,+852,+574,+65,+138,+169,,,+134,+67,-246
삼기,+79,-72,,,,,,,,,+2
삼보산업,-399,+389,+11,+9,,,,,,+2,
삼본전자,-100,+100,,,,,,,,,
삼천리자전거,-231,+173,-19,,,-39,,,,+19,+87
상보,-278,+273,,,,,,,,,
상상인인더스트리,-139,+206,,,,,,,,,-67
상지카일룸,+296,-43,,,,,,,,,-90
샘코,,,,,,,,,,,
서남,-4,+6,,,,,,,,,-2
서연탑메탈,+34,-37,,,,,,,,,
서울리거,-73,+47,,,,,,,,,+25
서진오토모티브,-11,+11,,,,,,,,,
서호전기,,+10,-11,-11,,,,,,,
서희건설,+425,-233,-196,-138,,,,,,-58,
선광,+10,-10,,,,,,,,,
선바이오,+41,,,,,,,,,,-5
세동,+85,-85,,,,,,,,,
세원물산,,,,,,,,,,,
세원,+27,-61,,,,,,,,,+28
세진티에스,+40,-34,-5,-5,,,,,,-1,
세중,+4,-4,,,,,,,,,
세코닉스,,,,,,,,,,,
센코,-176,+166,+11,+11,,,,,,,-1
센트럴바이오,+24,-25,,,,,,,,,
셀루메드,-74,+72,,,,,,,,,+2
셀리드,+1957,-677,-506,,,,,-507,,,-809
셀바스AI,-64,+189,+3,,,+3,,,,,-130
셀바스헬스케어,-268,+276,,,,,,,,,+2
셀젠텍,,,,,,,,,,,
소룩스,-21,+22,,,,,,,,,-1
소리바다,+7,-26,,,,,,,,,+11
소프트센우,,,,,,,,,,,
솔고바이오,,,,,,,,,,,
솔루에타,+106,-108,,,,,,,,,
수산아이앤티,-171,+165,,,,,,,,,+2
수성이노베이션,-21,+148,-87,,,,,-87,,,-30
수젠텍,-236,+250,+74,+72,,,,,,+2,-87
수프로,,,,,,,,,,,
슈펙스비앤피,,,,,,,,,,,
스맥,+32,-31,,,,,,,,,-1
스카이문스테크놀로지,,,,,,,,,,,
스카이이앤엠,+28,-29,,,,,,,,,
스킨앤스킨,,,,,,,,,,,
스타모빌리티,,,,,,,,,,,
스타플렉스,-38,+38,,,,,,,,,
스템랩,+9,,,,,,,,,,-9
스튜디오산타클로스,-15,+15,,,,,,,,,
스포츠서울,,,,,,,,,,,
승일,+110,-131,-17,-2,,-10,,,,-5,+32
시그네틱스,+118,-119,,,,,,,,,
시그넷이브이,+87,,+34,+200,,,,,,-165,+19
시큐브,-1,+2,,,,,,,,,
시큐센,-3,,,,,,,,,,+3
시티랩스,+893,-27,,,,,,,,,-867
신라에스지,+9,-8,,,,,,,,,
신라젠,,,,,,,,,,,
신성델타테크,-113,+117,,,,,,,,,-5
신영스팩5호,,,,,,,,,,,
신화콘텍,-24,+31,-7,-6,,,,,,-1,
싸이토젠,-136,-155,+9,,,,,,,+9,+282
썬테크,,,,,,,,,,,
썸에이지,+425,-744,,,,,,,,,+272
쎄노텍,-27,+32,,,,,,,,,
쎄미시스코,+4,-4,,,,,,,,,
쎄트렉아이,+585,-21,-606,,-120,-194,,,-83,-208,+37
씨씨에스,+5,+13,,,,,,,,,
씨앤에스링크,,,,,,,,,,,
씨알푸드,,,,,,,,,,,
씨앗,,,,,,,,,,,
씨엔티드림,,,,,,,,,,,
씨엔플러스,,,,,,,,,,,
씨티씨바이오,-265,+267,,,,,,,,,-1
아가방컴퍼니,-187,+348,-70,,,,,,,-70,-105
아래스,,,,,,,,,,,
아리온,,,,,,,,,,,
아스타,-17,+17,,,,,,,,,
아스트,-22,+22,,,,,,,,,
아우딘퓨쳐스,-160,-179,+280,,,+215,,,+65,,+59
아이비김영,+90,-74,,-5,,,,,,+5,+11
아이씨케이,+3,-9,+6,+6,,,,,,,
