종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
드래곤플라이,-17573,+15189,,,,,,,,,+3400
드림어스컴퍼니,-42224,+47342,-4026,+9013,,,,,+390,-13429,-615
디딤,-5845,+4952,,,,,,,,,+5000
디에스티,,,,,,,,,,,
디엠티,+62623,-34014,-28826,,,,,,,-28826,-1360
디이엔티,-20928,+29088,-9000,,,,,-7000,,-2000,+20
디자인,+25036,-21254,,,,,,,,,-2387
디젠스,+60959,-52517,-3129,-2528,,,,,,-601,-320
디지아이,-11675,+7543,+1132,+913,,,,,,+219,+3000
디지탈옵틱,,,,,,,,,,,
디피코,,,,,,,,,,,
라온테크,+2007,,+107,,,,,,,+107,-1962
라이트론,,,,,,,,,,,
라이프사이언스테크놀로지,,,,,,,,,,,
래몽래인,,,,,,,,,,,
럭슬,,,,,,,,,,,
럭스피아,,,,,,,,,,,
레드로버,,,,,,,,,,,
렌딩머신,,,,,,,,,,,
로보쓰리,+3300,,,,,,,,,,-300
로스웰,+219168,-221318,,,,,,,,,
루멘스,-16591,+8974,,,,,,,,,+8000
루켄테크놀러지스,+12644,,-12544,,,-12544,,,,,-100
루트락,,,,,,,,,,,
루트로닉,-32145,+31735,-7172,-5005,,-2010,,,,-157,+4803
루트로닉3우C,+5,,,,,,,,,,-5
리더스 기술투자,+642312,-859785,,,,,,,,,+214002
리더스코스메틱,-6287,+4725,+1246,+1246,,,,,,,
릭스솔루션,+100920,+2922,,,,,,,,,-103236
마이더스AI,-58663,+44372,,,,,,,,,+10000
매직마이크로,,,,,,,,,,,
맥스로텍,,,,,,,,,,,
메디쎄이,+6434,-6434,,,,,,,,,
메디안디노스틱,,,,,,,,,,,
메디앙스,,,,,,,,,,,
메디젠휴먼케어,,,,,,,,,,,
메디콕스,+48724,-1744,,,,,,,,,-46000
메디톡스,+12281,-11860,-468,-558,-6,,,-50,+1082,-936,-36
메이슨캐피탈,-448123,+476835,-24603,-20517,,,,,,-4086,-5000
메카로,+5519,-3615,,,,,,,,,-1920
멕아이씨에스,+2441,+653,-3001,-1,,,,,-3000,,+60
멜파스,-140338,+139750,,,,,,,,,+5522
명성티엔에스,,,,,,,,,,,
명진홀딩스,-17,,,,,,,,,,
모트렉스,+24597,-14516,,,,,,,,,-10000
무진메디,-2,,,,,,,,,,
미래에셋대우스팩4호,+4363,-3138,,,,,,,,,
미래엔에듀파트너,,,,,,,,,,,
미래테크놀로지,-846,-129,+1000,,,+1000,,,,,
미애부,,,,,,,,,,,
바른손,+7672,-8098,,,,,,,,,+260
바른손이앤에이,-78627,+60662,+82,+82,,,,,,,+2500
바른전자,,,,,,,,,,,
바이넥스,+200901,-188417,-4839,+1305,+12986,-59390,,,+24630,+15630,-4341
바이오시네틱스,-490,,,,,,,,,,
바이오인프라생명과학,+39500,,-3000,,,,,,,-3000,-36500
바이온,+10002,-9325,,,,,,,,,
바이오프로테크,,,,,,,,,,,
바이오리더스,+47687,-17090,,,,,,,,,+39134
바이옵트로,,,,,,,,,,,
박셀바이오,+4973,-5271,+2,+204,,,,,-178,-24,+1907
버킷스튜디오,+43671,-43681,,,,,,,,,
베노홀딩스,+5480,-7395,+417,+417,,,,,,,+500
베셀,+3744,-2619,,,,,,,,,
베스파,+8757,-3981,-4776,,,+13,,,,-4789,
볼빅,,,,,,,,,,,
부방,-113279,+94903,+38,+38,,,,,,,+19200
블러썸엠앤씨,,,,,,,,,,,
블루베리 NFT,+22080,+23479,,,,,,,,,-45604
비디아이,-4942,+4116,+245,+245,,,,,,,+1250
비보존 헬스케어,-106712,+101023,-6,-6,,,,,,,+7000
비에이치아이,+72366,-60559,,,,,,,,,-23637
비엔디생활건강,,,,,,,,,,,
비츠로시스,,,,,,,,,,,
비플라이소프트,+1811,,,,,,,,,,+587
빅텐츠,,,,,,,,,,,
뿌리깊은나무들,,,,,,,,,,,
삼강엠앤티,-57308,+40968,+27872,+3170,+6717,+8203,,,+6515,+3267,-11870
삼기,+17790,-16149,+29,+29,,,,,,,+555
삼보산업,-292705,+286018,+7595,+6267,,,,,,+1328,
삼본전자,-80426,+81176,,,,,,,,,
삼천리자전거,-16458,+12320,-1390,,,-2758,,,,+1368,+6176
상보,-151255,+148403,,,,,,,,,
상상인인더스트리,-114822,+165372,,,,,,,,,-50401
상지카일룸,+172123,-16306,,,,,,,,,-55937
샘코,,,,,,,,,,,
서남,-1312,+1854,,,,,,,,,-542
서연탑메탈,+2787,-3064,,,,,,,,,-1
서울리거,-60532,+38953,,,,,,,,,+20400
서진오토모티브,-4136,+4136,,,,,,,,,
서호전기,,+489,-519,-519,,,,,,,
서희건설,+229691,-126046,-105841,-74499,,,,,,-31342,+96
선광,+277,-269,,,,,,,,,
선바이오,+1140,,,,,,,,,,-140
세동,+37283,-37283,,,,,,,,,
세원물산,,,,,,,,,,,
세원,+4944,-10867,,,,,,,,,+5000
세진티에스,+7085,-6034,-965,-805,,,,,,-160,
세중,+1424,-1424,,,,,,,,,
세코닉스,,,,,,,,,,,
센코,-8064,+7591,+500,+500,,,,,,,-50
센트럴바이오,+10495,-10565,,,,,,,,,
셀루메드,-12277,+11978,-1,-1,,,,,,,+300
셀리드,+22604,-7869,-5918,+1,,,,-5919,,,-9252
셀바스AI,-12942,+37153,+630,,,+630,,,,,-25175
셀바스헬스케어,-89106,+91882,,,,,,,,,+654
셀젠텍,,,,,,,,,,,
소룩스,-1069,+1113,,,,,,,,,-44
소리바다,+17132,-91455,,,,,,,,,+44577
소프트센우,,,,,,,,,,,
솔고바이오,,,,,,,,,,,
솔루에타,+25978,-26297,,,,,,,,,+99
수산아이앤티,-5418,+5245,,,,,,,,,+50
수성이노베이션,-8425,+52238,-30000,,,,,-30000,,,-10497
수젠텍,-11546,+11753,+3336,+3232,,,,,,+104,-3521
수프로,,,,,,,,,,,
슈펙스비앤피,,,,,,,,,,,
스맥,+17325,-16943,,,,,,,,,-400
스카이문스테크놀로지,,,,,,,,,,,
스카이이앤엠,+15962,-16094,,,,,,,,,
스킨앤스킨,,,,,,,,,,,
스타모빌리티,,,,,,,,,,,
스타플렉스,-7267,+7264,,,,,,,,,
스템랩,+500,,,,,,,,,,-500
스튜디오산타클로스,-5373,+5338,,,,,,,,,
스포츠서울,,,,,,,,,,,
승일,+4167,-5064,-727,-100,,-427,,,,-200,+1399
시그네틱스,+78165,-78763,,,,,,,,,
시그넷이브이,+1424,,+682,+3350,,,,,,-2668,+326
시큐브,-965,+1063,,,,,,,,,
시큐센,-705,,,,,,,,,,+705
시티랩스,+925223,-26554,+11,+11,,,,,,,-899485
신라에스지,+438,-367,,,,,,,,,+1
신라젠,,,,,,,,,,,
신성델타테크,-11232,+11630,,,,,,,,,-500
신영스팩5호,,,,,,,,,,,
신화콘텍,-6618,+8459,-1801,-1508,,,,,,-293,
싸이토젠,-2107,-2421,+139,-4,,,,,,+143,+4389
썬테크,,,,,,,,,,,
썸에이지,+103815,-179422,,,,,,,,,+64739
쎄노텍,-12587,+14836,,,,,,,,,
쎄미시스코,+595,-581,,,,,,,,,
쎄트렉아이,+10852,-375,-11228,+2,-2230,-3598,,,-1535,-3867,+675
씨씨에스,+4266,+11563,,,,,,,,,
씨앤에스링크,,,,,,,,,,,
씨알푸드,,,,,,,,,,,
씨앗,,,,,,,,,,,
씨엔티드림,,,,,,,,,,,
씨엔플러스,,,,,,,,,,,
씨티씨바이오,-37424,+37758,+3,+3,,,,,,,-138
아가방컴퍼니,-37842,+68213,-13294,,,,,,,-13294,-19800
아래스,,,,,,,,,,,
