종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
KBSTAR 단기통안채,-125,,+125,-785,,+910,,,,,
KBSTAR 대형고배당10TR,+2138,,-2151,+4875,-10500,+5,+3469,,,,+1
KBSTAR 모멘텀로우볼,-1,,+1,-9,,+10,,,,,
KBSTAR 미국S&P원유생산기업(합성 H),-39891,+8581,+31279,+31279,,,,,,,
KBSTAR 미국고정배당우선증권ICE TR,+7,,-7,-3656,,,+3649,,,,
KBSTAR 주식혼합,-3,,+3,+3,,,,,,,
KBSTAR 중국MSCI China선물(H),-319,,+319,-6683,,,+7002,,,,
KBSTAR 중국본토대형주CSI100,-1432,-100,+1537,-8383,,,+9920,,,,
KBSTAR 중기우량회사채,+36,-24,-12,-260,,+5,,,+243,,
KBSTAR 중소형고배당,+1609,,-1609,-7484,,+10,+5865,,,,
KBSTAR 중장기국공채액티브,+35,,-35,-40,,+5,,,,,
KBSTAR 차이나HSCEI(H),-59,,+59,+59,,,,,,,
KBSTAR 코스닥150,-74,-38,+112,+10953,,+5,-10846,,,,
KBSTAR 코스닥150선물인버스,+4956,,-4956,-7106,,,+2150,,,,
KBSTAR 코스피ex200,-43,,+43,+33,,+10,,,,,
KBSTAR 코스피,-49,+17,+32,+22,,+10,,,,,
KBSTAR 팔라듐선물(H),+505,,-1035,-1035,,,,,,,+529
KBSTAR 헬스케어채권혼합,-223,,+223,+911,,+5,-693,,,,
KBSTAR 헬스케어,+2717,,-2717,-2727,,+10,,,,,
KB금융,-863183,+706221,+203226,-10860,+34620,+152927,+9257,+231,+20352,-3301,-43781
KCC,-14213,-2125,+15705,+5857,+2235,+4814,,-1000,+6163,-2364,+618
KG동부제철,-363495,+204935,+164286,+3094,-11597,-26518,-78650,,+131394,+146563,-5029
KG케미칼,+34025,-35841,+1754,+10,-3,,,,+1747,,-43
KINDEX 200,-75,+176,-101,-1001,,+900,,,,,
KINDEX S&P아시아TOP50,-649,+20,+628,+3279,,,-2651,,,,
KINDEX 국고채3년,+2,,-2,-3,,+1,,,,,
KINDEX 단기통안채,+21,,-21,-521,,+500,,,,,
KINDEX 러시아MSCI(합성),-5504,,+5686,+5686,,,,,,,+5
KINDEX 미국IT인터넷S&P(합성 H),+396,,-396,-396,,,,,,,
KINDEX 미국S&P500,+110451,,-111655,-181074,,-4,+65653,,,+3770,+290
KINDEX 미국WideMoat가치주,+20592,,-20592,-65035,,+1663,+42780,,,,
KINDEX 미국다우존스리츠(합성 H),+56,,-56,-5147,,,+5091,,,,
KINDEX 밸류대형,-2,,+2,-18,,+20,,,,,
KINDEX 베트남VN30(합성),+22448,-638,-23033,-23698,,-1206,+1871,,,,+1000
KINDEX 삼성그룹섹터가중,+83,,-83,-103,,+20,,,,,
KINDEX 스마트로우볼,-18,,+18,-2,,+20,,,,,
KINDEX 스마트모멘텀,-1,,+1,+78,,+20,,,,-97,
KINDEX 스마트밸류,+8,,-8,-28,,+20,,,,,
KINDEX 스마트퀄리티,-47,,+47,+27,,+20,,,,,
KINDEX 싱가포르리츠,+43,,-44,+1416,,,-1460,,,,
KINDEX 인도네시아MSCI(합성),+79,-34,-45,-2696,,,+2651,,,,
KINDEX 인버스,+15188,,-15188,-15188,,,,,,,
KINDEX 일본Nikkei225(H),+323,,-362,+14660,-15000,,-22,,,,
KINDEX 일본TOPIX인버스(합성 H),-49,,+49,+49,,,,,,,
KINDEX 중국본토CSI300,-3452,,+3452,-1801,+5215,+3,+35,,,,
KINDEX 코스닥150,+20,,-20,-40,,+20,,,,,
KINDEX 코스피,+4,,-4,-24,,+20,,,,,
KINDEX 필리핀MSCI(합성),+1554,,-1554,-1554,,,,,,,
KODEX 200ESG,-960,,+960,-15696,,,+16656,,,,
KODEX 200TR,+3505,,-3597,-20122,+2020,,+14505,,,,
KODEX 200가치저변동,+100,-3,-97,+1049,,,-1146,,,,
KODEX 200,-178933,+108073,+62755,+57668,-4801,+30,+12139,,-2806,+525,+8100
KODEX 200롱코스닥150숏선물,+1,,-1,-1,,,,,,,
KODEX 200미국채혼합,+69,,-69,-217,+320,+8,-180,,,,
KODEX 2차전지산업,-211624,+20068,+191808,-49740,,+58,+242990,,,-1500,+120
KODEX 3대농산물선물(H),-3936,,+3936,+3936,,,,,,,
KODEX China H,-287,-14,+299,-205,+500,,+4,,,,
KODEX China H선물인버스(H),-45,,+45,+45,,,,,,,
KODEX Fn성장,-259,,+259,+259,,,,,,,
KODEX IT,-2302,+124,+2178,+2199,,,-21,,,,
KODEX KRX300,-53,-265,+318,+703,,+1700,+506,,-2591,,
KODEX KTOP30,+969,,-969,-981,,+12,,,,,
KODEX MSCI KOREA ESG유니버설,+37,,-37,-75,,,+38,,,,
KODEX MSCI Korea TR,-1827,-576,+2403,+2403,,,,,,,
KODEX MSCI Korea,+1,,-1,-1,,,,,,,
KODEX MSCI모멘텀,+149,,-149,-149,,,,,,,
KODEX MSCI밸류,+333,,-333,-333,,,,,,,
KODEX MSCI퀄리티,-39,,+39,+39,,,,,,,
KODEX S&P글로벌인프라(합성),-533,,-767,-2623,,+1000,+856,,,,
KODEX TRF5050,+61,,-61,-12057,,,+11996,,,,
KINDEX 200TR,+6,+363,-369,-869,,+500,,,,,
KODEX Fn멀티팩터,-8,+10,-2,-2,,,,,,,
KODEX 단기채권PLUS,-6721,,+6721,+6721,,,,,,,
KINDEX Fn성장소비주도주,+68,,-68,-88,,+20,,,,,
KODEX 코스닥 150,-54397,-143317,+197145,+85501,+1600,,+10044,,,+100000,+575
KBSTAR V&S셀렉트밸류,+2,,-2,-52,,+50,,,,,
KT,-285450,+113610,+172601,+44057,+16702,+27003,-83,-340,+71167,+14095,+1009
KODEX TRF3070,+19316,,-19316,-22773,+470,,+2987,,,,
KODEX 200exTOP,-185,,+185,+185,,,,,,,
KODEX TRF7030,+957,,-957,-1485,,,+528,,,,
KODEX Top5PlusTR,-187,+103,+71,+71,,,,,,,
KODEX WTI원유선물(H),-268790,-20907,+289175,+298036,,,-8861,,,,+77
KODEX WTI원유선물인버스(H),+1272,,-2461,-2461,,,,,,,+1001
KODEX 건설,+272594,-168,-272461,-316198,,+136,+43601,,,,
KODEX 게임산업,+5768,,-5758,-5758,,,,,,,
KODEX 경기소비재,-748,,+748,+748,,,,,,,
KODEX 고배당,+24472,,-25676,-27518,,+969,,,,+873,
KODEX 골드선물(H),+73459,+125,-73582,-67010,-38,-8,-6526,,,,-20
KODEX 구리선물(H),+22448,-11117,-12970,-21167,,,+8197,,,,+1619
KODEX 국고채3년,+333,,-121,-2287,,+2000,+166,,,,-212
KODEX 국채선물10년인버스,-496,,+496,+496,,,,,,,
KODEX 국채선물10년,+782,,-797,-797,,,,,,,
KODEX 글로벌4차산업로보틱스(합성),-1466,,+1366,+552,,,+814,,,,+100
KODEX 기계장비,+4678,,-4680,-4680,,,,,,,
KODEX 다우존스미국리츠(H),-226,,+226,+226,,,,,,,
KODEX 단기변동금리부채권액티브,,,,,,,,,,,
KODEX 단기채권,-316,,+318,+195,,+1000,-877,,,,-2
KODEX 모멘텀Plus,-68,,+68,-32,+100,,,,,,
KODEX 미국FANG플러스(H),+80348,+17950,-97645,-144880,,-204,+47439,,,,-501
KODEX 미국S&P500선물(H),+14319,-4,-14604,-24342,+6350,+267,+2912,,,+209,
KODEX 미국S&P고배당커버드콜(합성 H),+2373,,-2374,-2383,,,+9,,,,
KODEX 미국S&P바이오(합성),-575,,+558,+558,,,,,,,+15
KODEX 미국S&P산업재(합성),-459,,+285,+804,,-569,+50,,,,
KODEX 미국S&P에너지(합성),+3179,-8628,-6925,-6711,,-566,+352,,,,
KODEX 미국나스닥100선물(H),-1304,-122,+1426,-5802,,+1683,+5156,,,+389,
KODEX 미국달러선물,-20907,,+20906,-8480,+29356,,+30,,,,
KODEX 미국달러선물인버스,-34,,+35,+35,,,,,,,
KODEX 미국러셀2000(H),-8111,,+8110,+8896,-600,+1029,-1215,,,,
KODEX 미국채10년선물,+5268,,-3586,-3594,,,+8,,,,
KODEX 미국채울트라30년선물(H),+3058,-189,-2869,-6400,,+3531,,,,,
KODEX 미디어&엔터테인먼트,+538,+6,-544,-1828,,,+1284,,,,
KODEX 바이오,-7629,-102,+7541,+7541,,,,,,,+155
KODEX 반도체,+9592,+1479,-11632,-47375,,+508,+35235,,,,+542
KODEX 배당가치,-1243,,+1243,+1243,,,,,,,
KODEX 배당성장채권혼합,+170,,-170,-1868,,,+1698,,,,
KODEX 배당성장,+1112,-18,-1094,-1909,,+622,-368,,,+561,
KODEX 보험,+18846,,-19276,-38807,,,+19531,,,,
KODEX 삼성그룹,-13126,-13,+13053,-1604,-7951,+12903,+9705,,,,
KODEX 삼성그룹밸류,-839,,+839,+1153,,-314,,,,,
KODEX 선진국MSCI World,+1803,,-1803,-11448,+2839,-462,+6993,,,+275,
KODEX 심천ChiNext(합성),-11836,+31799,-19854,-4484,,-1152,-14218,,,,+4
KODEX 에너지화학,+498,,-648,+415,,,-1063,,,,
KODEX 은선물(H),+41011,-11603,-30370,-30622,+248,+4,,,,,+313
KODEX 은행,-362865,-14326,+432555,+288291,,,-205108,,,+349372,-54143
KODEX 인버스,+2714063,-619902,-2097113,-2144956,,+40000,+5191,,,+2652,+3502
KODEX 일본TOPIX100,-353,,+353,-97,+450,,,,,,
KODEX 자동차,+55926,+1201,-62091,-2416,,,+77758,,-150000,+12567,+4913
KODEX 종합채권(AA-이상)액티브,-225,-10,-2098,-3745,+846,+800,+1,,,,+2333
KODEX 중국본토 A50,-841,+71,+769,+769,,,,,,,
KODEX 중국본토CSI300,-6804,,+6918,-4652,+5105,,+6465,,,,
KODEX 증권,-6338,-163,+7491,+9239,,,-1748,,,,-1000
KODEX 철강,+54308,,-53689,-53689,,,,,,,-3000
KODEX 최소변동성,,,,,,,,,,,
KODEX 코스닥150롱코스피200숏선물,-139,,+139,+139,,,,,,,
KODEX 코스닥150선물인버스,+2408227,-61376,-2266545,-2436781,,+9095,+100000,,,+61141,-57934
KODEX 코스피100,-13,+4,+1,-574,+880,-305,,,,,
KODEX 코스피,-1854,-312,+2166,-2436,+1974,,+3308,,,-680,
KODEX 코스피TR,+7,,-7,-7,,,,,,,
KODEX 코스피대형주,-3,,+3,+3,,,,,,,
KODEX 콩선물(H),-1667,-1856,+3707,+3707,,,,,,,-184
KODEX 퀄리티Plus,-20,,+20,+5,+15,,,,,,
KODEX 필수소비재,-4763,,+4763,+4763,,,,,,,
KODEX 한국대만IT프리미어,-9806,,+10046,-42520,,,+52566,,,,
