종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
TIGER 코스피고배당,+6484,-32,-6452,-4707,,+1504,-2299,,,-950,
TIGER 코스피,+1,+16,-17,-17,,,,,,,
TIGER 코스피대형주,-661,,+661,+661,,,,,,,
TIGER 코스피중형주,+121,,-121,-121,,,,,,,
TIGER 헬스케어,-174,+586,-420,+10661,,,+8919,,,-20000,
TIGER 현대차그룹+펀더멘털,-6898,,+5715,-14298,,,+913,,,+19100,+1111
TIGER 화장품,-24567,,+24533,+24528,,,+5,,,,
가온전선,-928,+1064,+7,+7,,,,,,,-100
경동인베스트,-2448,+1893,+314,+239,,,,,,+75,+241
경인전자,-35,+46,-61,-49,,,,,,-12,
계룡건설,-5043,+5917,+105,+89,-3,,,,,+19,-976
고려아연,-23155,-5306,+25987,+14415,+64,+5161,-215,+254,+9097,-2789,+2282
광주신세계,+318,-319,+1,+1,,,,,,,
교보증권,-1769,+140,+349,+356,-7,,,,,,+1316
국도화학,+678,+8830,+599,+1263,-6720,+3131,,+897,+3226,-1198,-9526
금 99.99K,+60419,,+16466,+13202,,,+3264,,,,-76892
금비,-696,+837,-141,-141,,,,,,,
금호건설,+18601,-1409,-17359,+842,-7,-18194,,,,,-1080
금호석유,+51879,-41702,-30643,+4579,+10587,-5508,,+67,-27957,-12411,+19474
기아,+2097348,-1322644,-743038,-109754,-65870,-155813,-13194,+994,-291432,-107969,-14356
기업은행,-713385,+887801,-49724,+2263,-545,+1234,,-4849,-29822,-18005,-124003
남광토건,+10900,-10912,+12,+12,,,,,,,
남양유업,+174,-116,-50,+21,-71,,,,,,-3
녹십자,-6073,+5177,+578,+775,+1068,-68,,,-4676,+3479,+224
농심홀딩스,-216,+88,+126,-9,-1,+136,,,,,
농심,+12816,-4436,-8715,-143,-1198,-6561,+87,,-905,+5,+221
대신증권2우B,+3923,+12968,-377,+32,,,,,,-409,-15595
대신증권우,+46796,+7351,-932,+901,,,,-1500,,-333,-53230
대신증권,-167898,+62356,+113326,+3759,+5635,+69262,,,-1440,+36110,+6117
대우건설,-91551,-4934,+31097,+40861,-1165,-30167,,,+201067,-179499,+65174
대우조선해양,+6293,-12847,+10950,+4102,+4136,+2062,,,+305,+345,-4992
대한유화,+9576,-10334,+812,+2545,+739,+1148,,,-1135,-2485,+91
대한제분,-144,+201,-63,-34,+2,-21,-10,,,,+6
대한항공,+146237,-48534,-95151,-11423,-207,+1393,,,-84914,,-1439
대한항공우,+147,-148,,,,,,,,,
대한화섬,+125,-20,-105,,,,-105,,,,
동국제강,-756530,+418277,+317373,+18930,-404,+158120,,,+57002,+83725,+21897
동부건설,+5354,-8945,+699,+713,-14,,,,,,+657
동아쏘시오홀딩스,+3171,-11248,+9808,-1080,+161,+2607,,+393,+7727,,-1391
동아에스티,-5374,+4467,+450,+309,-5,+721,+723,-1240,-544,+486,+87
동양고속,-496,+495,+1,+1,,,,,,,
동양생명,-47970,+48160,+132,+1196,-52,,,,-1012,,+316
동원F&B,-1329,-183,+1471,+499,-3,+6,,,-327,+1296,+34
동원산업,-273,-154,+343,+16,-5,+243,,,,+89,+80
동원수산,+4081,-5181,+1428,+1174,,,,,,+254,-328
동원시스템즈,+8185,-249,-7978,+1267,-11,+39,,,-9273,,+81
동일산업,+194,-32,-142,-51,,,-91,,,,-20
두산인프라코어,+10601,+95517,-112470,-60744,-28877,-25530,,+488,+2193,,+6117
두산,+5586,-10822,+3810,+210,-5,+10041,,,-5027,-1409,+1425
두산2우B,,,,,,,,,,,
두산우,-2700,-301,+3001,+1,,+3000,,,,,
두산중공업,+143645,-258804,+116524,+46464,-19758,-1782,,,+106600,-15000,-955
롯데쇼핑,+3416,+1244,-4556,+128,-388,+1365,,,-5681,+20,+14
롯데정밀화학,-1721,-26889,+32264,+3274,+3001,+6411,,+352,+17272,+1954,-1042
롯데정보통신,+8980,+2777,-11798,-74,-1,-5299,,,-6452,+28,+3
롯데케미칼,+51125,-25667,-26220,-2349,-463,-8644,+132,,-13991,-905,+608
롯데푸드,+89,-98,-47,-28,,-9,,,,-10,+61
롯데하이마트,-19341,+2992,+16349,+1610,-21,+813,,,+8947,+5000,
미니금 100g,+3756,,-188,-881,,,+693,,,,-3932
미래에셋생명,-4434,+13849,-8855,+761,-55,-238,,-8000,-1323,,+3164
미래에셋증권2우B,+270686,-105833,-175808,-168322,-209,-40000,,,+22467,+10256,+8777
미래에셋증권,-103728,+26351,+70784,+99757,-963,+2125,,-8677,-21824,+366,+7104
미래에셋증권우,+62591,-55515,-7814,-7814,,,,,,,+505
부산가스,-2261,+2258,+3,+1,+2,,,,,,
부산산업,-1832,+1695,+1,,+1,,,,,,+134
빙그레,-3729,+357,+3427,+1629,-16,+36,+684,,+94,+1000,
사조대림,-3646,+5197,-1432,-1161,,,,,,-271,-170
사조산업,-855,+1756,-2,+2,-4,,,,,,-899
사조오양,+6640,-3217,-2734,-2256,,,,,,-478,-720
삼성 S&P500 VIX S/T 선물 ETN(H) B,,,,,,,,,,,
삼성SDI,-1748,+6591,-4941,+5400,-235,+103,,+290,-9302,-1197,+231
삼성SDI우,-724,+356,,,,,,,,,+371
삼성엔지니어링,-607798,+329050,+264515,+53892,-258,+66431,,+6493,+152079,-14122,+16758
삼성전기우,-783,+884,+2,+2,,,,,,,-19
삼성전기,+13715,-12466,-4179,+10520,-521,-15116,,+248,+1890,-1200,+2693
삼성중공업,-52097,-13963,+49139,+13994,+1591,+16937,,,+16617,,-10792
삼성중공우,+20,,,,,,,,,,
삼성증권,-334688,+186715,+147486,+48205,+2946,+39520,,+2500,-197,+54512,+1704
삼성카드,-35150,+25502,+9639,-792,-67,+86,,,+9774,+638,-1
삼양사,-782,+726,-457,-364,-4,+22,,,-50,-61,+513
삼양식품,+2999,-2798,-209,+17,-9,+496,,,-479,-234,-12
삼양통상,-410,+93,+208,+359,-3,+30,-247,,,+69,+109
삼양패키징,+26127,+10455,-38382,-6573,-23,-5128,,+30,,-26688,+1680
삼양홀딩스,-5068,+1901,+4112,+1466,-5,-25,,-90,-60,+2826,-897
삼천리,+6322,-5607,+238,+317,-3,,,,-134,+58,
서울가스,+157,-103,+1,+1,,,,,,,-56
성신양회,-1208,-1896,+4232,+2529,-2,,,,,+1705,-1372
세아베스틸,-40472,+19329,+18053,+3308,-4630,+1890,-111,-107,+17703,,+2847
세아제강,+5435,+6488,-17866,-755,-612,-31046,-48,-1055,+2931,+12719,+4657
세아제강지주,+6904,+2020,-9157,+9,-979,-7101,-77,-1009,,,+113
세아특수강,+48904,+4167,-450,+2,,-41,-398,-13,,,-52926
신대양제지,+1232,-541,-671,-634,-1,,,,,-36,-20
신도리코,+2653,-4265,+1612,+11,-6,,+1164,,+443,,
신세계 I&C,-4104,-551,+4646,+151,+1811,+200,,,+2624,-140,+11
신세계건설,+674,-935,+3,+3,,,,,,,+10
신세계인터내셔날,+2060,-1593,-406,-921,-1437,-1948,,-184,+4818,-734,
신세계,-4896,-3232,+9158,+1751,+5617,-968,,+183,+2544,+31,-707
신세계푸드,-1986,-1672,+3660,+1,+3,,,,,+3656,-20
신영와코루,+597,-22,-75,-75,,,,,,,-500
신영증권,-8443,+3623,+5458,+4495,,,-59,,+1022,,-653
신영증권우,-2557,+644,+1983,+2000,,,-30,,,+13,
신한 S&P500 VIX S/T 선물 ETN B,,,,,,,,,,,
신한지주,-523756,+378983,+215112,+17596,+49946,+52708,+15069,+1025,+40508,+38260,-47675
아세아시멘트,+8491,-4700,-2175,-606,+1,-15,,,-3623,+2068,-1699
아세아,+144,-197,+63,+50,,,,,,+13,-10
아세아제지,-1266,-741,+7,-68,-7,,,,,+82,+2000
아시아나항공,-5811,+6138,+73,+1020,-40,-3,,,-904,,+6
에이리츠,-6360,+2312,-276,-276,,,,,,,+4324
영풍,-961,+452,+466,+121,,+2,+51,,+301,-9,+43
예스코홀딩스,+84,-193,-1,-1,,,,,,,+110
오뚜기,+3745,-871,-2885,-1594,-2,-3,-44,,-1244,+2,
용평리조트,-616,-754,+619,+628,-9,,,,,,
우리금융지주,+390223,-588398,+177288,-24194,+87040,+172717,+43957,-2305,+3698,-103625,+22119
우리금융캐피탈,-7076,-1254,+8245,+289,-44,+8000,,,,,+60
유니드,-17573,-2948,+19667,+6080,-3,+10232,+1947,,+60,+1351,+799
유안타증권우,+22729,-18041,,,,,,,,,
유안타증권,-333038,+336567,+24465,+3640,-49,,,,+20874,,-22329
유진투자증권,-178232,+94741,+14135,+2622,-61,,,,+11574,,+70253
이건산업,-26343,+14371,+119,+3,,+3,,,-1500,+1613,+11594
이마트,+25762,+9853,-36275,+399,-17094,-4754,,-328,-14362,-136,+255
이수화학,-444640,+276895,+174304,+17506,,+36624,,-682,+14115,+106741,-10482
인천도시가스,+15,-16,+1,+1,,,,,,,
일성신약,+381,-282,-102,+2,+2,,-106,,,,+3
일신방직,+4045,-1059,-4364,+2,,-4205,-160,-1,,,+1379
제이콘텐트리,+10,-1736,+1540,+301,-11,-176,,,+1626,-200,+146
제주은행,+13596,-14379,+4,+4,,,,,,,+20
제주항공,-48532,+17672,+30848,+9547,+62,+14318,+4714,+2257,-50,,
조광피혁,-145,-24,+169,-2,,,,,-9,+180,
조비,-2049,+2047,+2,+2,,,,,,,
조선내화,-488,-109,+358,+39,,,+319,,,,+239
조흥,,,,,,,,,,,
지역난방공사,-60,-1203,+1272,+37,-5,-46,,,+1286,,-9
천일고속,-309,+9,,,,,,,,,+300
코오롱인더우,-540,+1126,,,,,,,,,+30
코오롱인더,-27414,+9717,+17645,-1631,-36,+18192,,,+1606,-486,+26
코오롱,-26434,+26179,+203,+134,+37,,,,,+32,-34
코오롱글로벌,-243912,+151196,+93184,+1342,+16837,+5552,+7217,-2500,+69536,-4800,-724
키움증권,-17524,+6846,+9030,-4411,-389,-2118,,+531,+15308,+109,+1700
태광산업,-99,-111,+216,-9,+4,+2,-12,,+231,,
파워 200,+15,,-15,+31,,-46,,,,,
포스코인터내셔널,+304494,-112117,-181774,-2157,-126,-1632,,+4650,-182509,,-10769
풍산홀딩스,-920,+1220,-14,-14,,,,,,,-287
풍산,+3052,-10022,+4950,+5997,-19,+62,,,-317,-773,+994
하나금융지주,-340251,+216611,+160229,+35081,-51061,+67769,+12752,+1075,+76725,+17888,+347
하이트진로홀딩스,+480,+420,-1010,+4,-14,,,,,-1000,+70
하이트진로,+57805,-2490,-60339,+294,+31,-12595,,-500,+1073,-48642,+5204
한국가스공사,+17799,-34019,+15916,+1830,-845,-762,,,+15693,,+296
한국공항,-345,-1708,+2005,+1,+344,,+610,+33,+1017,,+38
한국금융지주,-65945,+95867,-31491,-1511,-4967,-7971,+65,-1557,-27785,+12235,+1841
한국금융지주우,-2813,+2306,+207,+126,,,,,,+81,+239
한국수출포장,-1768,-1259,+3001,+3001,,,,,,,
한국쉘석유,-578,+648,-69,-62,,-7,,,,,-1
한국전력,+60017,+34561,-96801,+42872,+1108,+1566,,+989,-145410,+2074,-783
한국조선해양,-14408,-784,+26984,+2824,-1257,+20992,,+340,+2042,+2043,-11791
한국항공우주,+52189,+2548,-53176,-10833,-8152,-3332,+562,,-30666,-755,-2250
한라홀딩스,+1933,-2447,+173,+858,-10,-16,,,-159,-500,+244
한솔제지,+9173,-11914,+1131,+1036,+60,-40,,,,+75,+1089
한솔케미칼,-9605,+4647,+5111,+2286,-700,-1479,-969,,+3840,+2133,-60
한솔테크닉스,-30676,+29990,-219,+466,-36,-649,,,,,+2322
한신공영,-1058,+5044,-1201,-2882,-6,,,,+7102,-5415,-2229
한양증권,-547,+2442,-1598,+2,,,,,,-1600,-297
한일시멘트,+2484,-2125,-321,-56,-1,,,,-220,-44,-3
한일현대시멘트,-2802,+2274,+488,+468,-5,+40,,,-15,,
한화생명,-4449571,+3742706,+686827,+49264,+2626,-51268,,,+678748,+7457,+24002
한화3우B,-13067,-2555,+15404,+404,,,,,,+15000,+208
한화시스템,+142996,-90388,-62714,+327,-6022,-50647,,,-18218,+11846,+10620
한화,-23147,+11645,+11416,+13122,-34,+281,,,-1788,-165,-675
한화손해보험,+29688,+2495,-39432,+4699,-72,+10687,,,-99848,+45102,+6224
한화솔루션,+201452,-85820,-112738,-23491,-12091,+4931,,+2954,-96350,+11309,-6345
한화솔루션우,+273,-575,,,,,,,,,
한화에어로스페이스,-80041,+39625,+52489,-7735,-80,+46416,,,+13989,-101,-9651
해성디에스,-10551,-117,+10663,+881,+1402,,+2790,,+2180,+3410,-20
현대건설,-322558,+116593,+213511,+13534,+2529,+21874,-54,+520,+169642,+5466,-5701
현대건설기계,+43321,-71964,+17824,+155,+5881,+510,,,+12243,-965,+11095
현대로템,+107063,-86446,-2534,+3334,-100,-2139,,+4878,-8507,,-17927
현대모비스,+474717,-79949,-413559,-47434,-33413,-109005,-18,-534,-218731,-4424,+17747
현대미포조선,+60407,-7322,-53089,-487,-25,-2903,-168,,-24017,-25489,-491
현대백화점,+35414,+25003,-61659,-10219,-980,-12416,+282,,-15621,-22705,+97
현대에너지솔루션,+23308,-20284,+2473,+870,-3,,,,+1709,-103,-5462
현대엘리베이,+16880,-483,-17693,-3109,-8630,+108,,,-6062,,+1289
현대위아,+121106,-24037,-103612,-8847,-1199,-48918,-163,+673,-45158,,+6128
현대일렉트릭,-12137,+1016,+12575,+56,+5376,+5158,,+5115,-3130,,
현대제철,-494641,+265773,+222485,+67529,+17990,+52922,,+2896,+75191,+5957,+7929
현대차2우B,-26135,+9451,+17824,+222,-1519,+22388,+212,+1920,-1401,-3998,-1210
현대차3우B,+1951,-646,-1315,+168,-12,,+144,,-1508,-107,
현대차우,+20219,-18447,-1509,-726,-1,-89,-11,,-682,,-217
현대차,+555203,-281920,-259848,-47562,-17978,-20202,-171,+521,-142130,-32326,-16071
현대차증권,-53369,+53793,-434,-1024,-16,+606,,,,,
현대코퍼레이션,-6384,+471,+5613,+667,,,,,+4946,,+300
현대코퍼레이션홀딩스,+4254,-5232,+693,+693,,,,,,,+350
현대홈쇼핑,+2733,+2449,-6407,+98,-14,+336,,,-6840,+13,+1231
호텔신라,+29502,-5702,-26151,+748,-5285,+1989,,-459,-17619,-5525,+2076
호텔신라우,-5108,+3616,+1522,,,,,,,+1522,+57
화성산업,-35308,+33602,+1373,+1398,-25,,,,,,+75
화천기공,-1347,+1179,+118,+118,,,,,,,
효성중공업,+14436,-12715,+5413,+385,+1784,+3251,,,-7,,-7031
효성첨단소재,+8096,-3392,-3553,+237,,+253,,,-4043,,-1121
효성,-17065,+18820,+383,-12,-34,+364,,,-3935,+4000,-2152
효성티앤씨,-1434,-371,+2299,-21,-10,+6,,-207,+2734,-203,-522
효성화학,-10829,+15645,-4400,+1373,-3749,-154,,,-884,-986,-296
휴니드,+5381,-2990,+4,+4,,,,,,,-232
휴비스,+20750,-19731,-154,-48,,-106,,,,,+17
휴스틸,-34943,+33167,-232,+15,,,,,,-247,+1918
흥국 S&P코리아로우볼,,,,,,,,,,,
흥국화재,-41169,+39124,+939,+10,,,,,,+929,+200
AJ네트웍스,+26518,-3374,+8000,+6027,-27,,,,,+2000,-31144
ARIRANG 200동일가중,+22,,-22,-2,,-20,,,,,
ARIRANG 200선물레버리지,-86,,+86,+86,,,,,,,
ARIRANG 200선물인버스2X,+16345,,-20726,-20726,,,,,,,+4281
ARIRANG ESG우수기업,+491,,-491,-471,,-20,,,,,
ARIRANG S&P글로벌인프라,-126,,+126,+130,,,-4,,,,
ARIRANG 국채선물3년,-1,,+1,+1,,,,,,,
ARIRANG 스마트베타Quality채권혼합,-6,,+6,+75,,-20,-49,,,,
ARIRANG 신흥국MSCI인버스(합성 H),-71,,+71,+71,,,,,,,
ARIRANG 코스닥150,-395,,+343,+363,,-20,,,,,
ARIRANG 코스피중형주,+39,,-39,-19,,-20,,,,,
ARIRANG 탄소효율그린뉴딜,-195,,+195,+215,,-20,,,,,
BYC우,+11,,-11,,,,-11,,,,
CJ씨푸드1우,-2,+2,,,,,,,,,
DB하이텍1우,-200,,+200,+200,,,,,,,
ESR켄달스퀘어리츠,+72142,-169553,+96518,+16978,,+95790,,-8518,,-7732,+1225
FOCUS ESG리더스,+61,,-61,-61,,,,,,,
HANARO 200선물레버리지,-2941,,+2941,+2941,,,,,,,
HANARO Fn K-뉴딜디지털플러스,-2230,,+2230,-1730,,-50,+16690,,,-12680,
HANARO Fn5G산업,+3709,,-3712,-9371,,-50,+5709,,,,
HANARO Fn전기&수소차,+6103,,-6353,-6434,,-50,+131,,,,
HANARO Fn친환경에너지,+16292,,-16292,-16242,,-50,,,,,
HANARO 단기통안채,,,,,,,,,,,
HANARO 코스닥150선물레버리지,+4,,-4,-4,,,,,,,
HANARO 탄소효율그린뉴딜,+164,,-164,-38671,,-50,+38557,,,,
HSD엔진,+17252,-6289,-5007,+34,,-911,,,,-4130,-6170
JW중외제약2우B,,,,,,,,,,,
JW중외제약우,-28,+28,,,,,,,,,
KB FnGuide 언택트 ETN,+14,,-14,-14,,,,,,,
KB KRX ESG Eco ETN,+268,,-257,-257,,,,,,,-11
KB KRX300 ETN,,,,,,,,,,,
KB Wise 분할매매 ETN,-12,,+12,+12,,,,,,,
KB 레버리지 S&P 500 선물 ETN(H),+2406,,-2406,-2406,,,,,,,
KB 레버리지 나스닥 100 ETN,-385,,+385,+385,,,,,,,
KB 인버스 2X S&P 500 선물 ETN,,,,,,,,,,,
KB 인버스 2X 나스닥 100 ETN,,,,,,,,,,,
KBSTAR 200TR,-248,,+248,+238,,+10,,,,,
KBSTAR 200건설,+668,,-668,-673,,+5,,,,,
KBSTAR 200경기소비재,+42,,-42,-47,,+5,,,,,
KBSTAR 200고배당커버드콜ATM,+20,,-20,-25,,+5,,,,,
KBSTAR 200금융,-247,,-8,-13,,+5,,,,,
KBSTAR 200산업재,-109,,+109,+104,,+5,,,,,
KBSTAR 200선물레버리지,-622,-90,+752,+3010,,,-2258,,,,
KBSTAR 200선물인버스2X,+18921,,-19521,-19521,,,,,,,+700
KBSTAR 200선물인버스,-1625,+310,+1315,+1665,,-350,,,,,
KBSTAR 200에너지화학,+785,,-785,-790,,+5,,,,,
KBSTAR 200중공업,+769,,-769,-774,,+5,,,,,
KBSTAR 200철강소재,+3534,,-3534,-3539,,+5,,,,,
KBSTAR 200커뮤니케이션서비스,+6,,-6,-11,,+5,,,,,
KBSTAR Fn K-뉴딜디지털플러스,-334,,+334,+329,,+5,,,,,
KBSTAR Fn5G테크,-8006,+2135,+5871,-270,,,-29,,,+6170,
KBSTAR Fn수소경제테마,+30680,-279,-29907,-99087,,,+69180,,,,
KBSTAR KRX300레버리지,+4,-2,-2,-12,,+10,,,,,
KBSTAR KRX300미국달러선물혼합,,,,-5,,+5,,,,,
KBSTAR KRX국채선물3년10년스티프너,-1,,+1,-5,,+6,,,,,
KBSTAR KRX국채선물3년10년플래트너,,,,-6,,+6,,,,,
KBSTAR KRX국채선물3년10년스티프너2X,-1900,,+1900,+4894,-3000,+6,,,,,
KBSTAR KRX국채선물3년10년플래트너2X,,,,-3006,+3000,+6,,,,,
KBSTAR 국채선물10년인버스,-2,,+2,-4,,+6,,,,,
KBSTAR 글로벌데이터센터리츠나스닥(합성),+192,,-192,-192,,,,,,,
KBSTAR 내수주플러스,+10,,-10,-80161,,+5,+80146,,,,
KBSTAR 모멘텀밸류,+66,,-66,-76,,+10,,,,,
KBSTAR 미국S&P500,+21493,,-33354,-33354,,,,,,,+10000
KBSTAR 미국나스닥100,+60172,,-65615,-65615,,,,,,,+5448
KBSTAR 미국장기국채선물레버리지(합성 H),+66,,-66,-66,,,,,,,
KBSTAR 미국장기국채선물(H),+241,,-241,-241,,,,,,,
KBSTAR 미국장기국채선물인버스2X(합성 H),+972,,-1012,-331,,-681,,,,,+40
KBSTAR 미국장기국채선물인버스(H),-5,,+5,+5,,,,,,,
KBSTAR 수출주,+219,,-219,+1417,,+10,-1646,,,,
KBSTAR 우량업종,-10,,+10,,,+10,,,,,
KBSTAR 유로스탁스50(H),+1098,,-1098,-1098,,,,,,,
KBSTAR 중소형모멘텀밸류,+101,,-101,-101,,,,,,,
KBSTAR 중소형모멘텀로우볼,,,,,,,,,,,
KBSTAR 차이나H선물인버스(H),+95,,-95,-95,,,,,,,
KBSTAR 차이나항셍테크,-3021,+2162,+815,+815,,,,,,,+44
KBSTAR 채권혼합,+8,,-8,-3,,,-5,,,,
KBSTAR 코스닥150선물레버리지,+275,,-275,+15508,,,-15783,,,,
KBSTAR 팔라듐선물인버스(H),+340,,-340,-340,,,,,,,
KCTC,-42695,+10026,+21,+21,,,,,,,+35040
KC코트렐,+41679,-42382,+8,+4,,+4,,,,,
KG동부제철우,+1,,,,,,,,,,
KINDEX Fn K-뉴딜디지털플러스,,,,-20,,+20,,,,,
KINDEX Fn5G플러스,-2,,+2,-18,,+20,,,,,
KINDEX KIS종합채권(AA-이상)액티브,,,,-2,,+2,,,,,
KINDEX 골드선물 레버리지(합성 H),+3030,,-2485,-2485,,,,,,,-83
KINDEX 국고채10년,+11,,-11,-11,,,,,,,
KINDEX 국채선물10년인버스,-1,,+1,+1,,,,,,,
KINDEX 국채선물3년인버스,,,,,,,,,,,
KINDEX 레버리지,-3482,,+3482,+3482,,,,,,,
KINDEX 멕시코MSCI(합성),-2373,,+2373,+2373,,,,,,,
KINDEX 모닝스타싱가포르리츠채권혼합,+1,,-1,-1,,,,,,,
KINDEX 미국나스닥100,+71167,,-72178,-72586,,,+408,,,,+372
KINDEX 배당성장,+35,,-35,-55,,+20,,,,,
KINDEX 블룸버그베트남VN30선물레버리지(H),+11467,,-11467,-11467,,,,,,,
KINDEX 삼성그룹동일가중,-359,,+359,+339,,+20,,,,,
KINDEX 스마트하이베타,-1,,+1,-19,,+20,,,,,
KINDEX 일본TOPIX레버리지(H),+70,,-70,-70,,,,,,,
KINDEX 중국본토CSI300레버리지(합성),-3783,+3652,+131,+131,,,,,,,
KINDEX 중장기국공채액티브,-31,,+31,+30,,+1,,,,,
KINDEX 차이나항셍테크,-2178,-236,+2414,+2414,,,,,,,
KINDEX 코스닥(합성),-1,,+1,+1,,,,,,,
KODEX 200 중소형,+1221,,-1226,-53697,,+46153,+6318,,,,+5
KODEX 200IT TR,-734,,+734,+734,,,,,,,
KODEX 200동일가중,+8,,-8,-8,,,,,,,
KODEX 200선물인버스2X,+27020335,-11899158,-15607016,-16065514,,+141083,,,,+317415,+260801
KODEX China H 레버리지(H),-85820,,+74820,+74820,,,,,,,+11000
KODEX Fn K-뉴딜디지털플러스,+244,,-289,-7958,,,+7669,,,,
KODEX FnKorea50,-1,,+1,+1,,,,,,,
KODEX K-이노베이션액티브,-2123,,+2123,+2123,,,,,,,
KODEX KRX300레버리지,+359,,-359,-359,,,,,,,
KODEX MSCI EM선물(H),-27,,+27,+3028,+7,-1767,,,,-1241,
KODEX TSE일본리츠(H),+199,,-199,-199,,,,,,,
KODEX 골드선물인버스(H),-591,,,,,,,,,,-90
KODEX 국채선물3년인버스,-2,,+2,+2,,,,,,,
KODEX 레버리지,-1463334,-101285,+1795140,+1828461,-32415,+16121,-17112,,,+85,-230285
KODEX 멀티에셋하이인컴(H),-282,,+282,+1934,,,-1652,,,,
KODEX 미국S&P500TR,+251285,,-251976,-322660,+70684,,,,,,+3
KODEX 미국나스닥100TR,+170388,,-170982,-243556,+72574,,,,,,
KODEX 미국달러선물인버스2X,-2524,,+2524,+2524,,,,,,,
KODEX 미국달러선물레버리지,-28405,,+28425,+29001,,-576,,,,,+40
KODEX 미국채울트라30년선물인버스(H),-164,,+103,+103,,,,,,,+61
KODEX 밸류Plus,+217,,-217,-367,+150,,,,,,
KODEX 운송,+10117,,-10783,-10893,,+79,+31,,,,+500
KODEX 장기종합채권(AA-이상)액티브KAP,,,,,,,,,,,
KODEX 차이나항셍테크,-49113,+1734,+47401,+127696,,-564,-74131,,-5600,,
KODEX 코스닥150 레버리지,-349606,-42579,+384097,+399925,,+10304,-16892,,,-9240,+11771
KODEX 탄소효율그린뉴딜,-706,,+706,+706,,,,,,,
KODEX 혁신기술테마액티브,-129,,+129,+115,,,+14,,,,
KOSEF 200선물레버리지,-176,,+176,+174,,+2,,,,,
KOSEF 200선물인버스2X,+58940,-17479,-41461,-43143,,+2,,,+1680,,
KOSEF 국고채10년레버리지,+86,,-86,-86,,,,,,,
KOSEF 미국달러선물인버스2X,-3019,,+3019,+3017,,+2,,,,,
KOSEF 미국달러선물레버리지,-1385,,+1385,+1383,,+2,,,,,
KOSEF 미국방어배당성장나스닥,+461,,-461,-463,,+2,,,,,
KOSEF 코스닥150선물레버리지,-827,-141,+968,+966,,+2,,,,,
KR모터스,-77571,+66370,+1,+1,,,,,,,+33
KTOP 코스피50,+27,-2,-25,-125,+100,,,,,,
LG하우시스우,-407,+676,-273,,,,,,,-273,
MH에탄올,+54292,-53946,+14,+16,-2,,,,,,-341
NPC우,,,,,,,,,,,
QV S&P500 VIX S/T 선물 ETN C,-381,,+381,+381,,,,,,,
QV iSelect 글로벌 EMP ETN(H),,,,,,,,,,,
QV 건설 TOP5 ETN,-49,,+49,+49,,,,,,,
QV 내수소비 TOP5 ETN,,,,,,,,,,,
QV 레버리지 S&P500 ETN,+10,,-10,-10,,,,,,,
QV 레버리지 WTI원유 선물 ETN(H),-36342,,+36342,+36342,,,,,,,
QV 미국 IT TOP5 ETN(H),+41,,-41,+77,,,-118,,,,
QV 바이오 TOP5 ETN,+50,,-50,-50,,,,,,,
QV 소프트웨어 TOP5 ETN,,,,,,,,,,,
QV 에너지 TOP5 ETN,-1,,+1,+1,,,,,,,
QV 운송 TOP5 ETN,+10,,-10,-10,,,,,,,
QV 의료 TOP5 ETN,+721,,-721,-721,,,,,,,
QV 인버스 레버리지 S&P500 ETN,-11,,+11,+11,,,,,,,
QV 인버스 레버리지 WTI원유 선물 ETN(H),+16709,,-16709,-16709,,,,,,,
QV 자동차 TOP5 ETN,+1,,-1,-1,,,,,,,
QV 제약 TOP5 ETN,-2,,+2,+2,,,,,,,
QV 조선 TOP5 ETN,-72,,+72,+72,,,,,,,
QV 코스피 변동성 매칭형 양매도 ETN,,,,,,,,,,,
QV 하드웨어 TOP5 ETN,,,,,,,,,,,
QV 화학 TOP5 ETN,,,,,,,,,,,
SK네트웍스우,,,,,,,,,,,
SK증권우,,,,,,,,,,,
SMART 선진국MSCI World(합성 H),+44,,-44,-44,,,,,,,
SMART 중국본토 중소형 CSI500(합성 H),+3,,-3,-3,,,,,,,
STX,-8578,+8982,-92,-92,,,,,,,
STX중공업,-2173,+2818,+19,+19,,,,,,,-12
SUN&L,-21669,+8967,+7502,+2,,,,,,+7500,+5200
TBH글로벌,+593,-228,+5,+5,,,,,,,
TIGER 200 산업재,-625,,+625,+625,,,,,,,
TIGER 200 생활소비재,-1025,,+1025,+1025,,,,,,,
TIGER 200 철강소재,+42492,-1870,-124777,-149623,,,,+6384,+18462,,+83943
TIGER 200IT레버리지,-5444,,+5870,+5870,,,,,,,+7
TIGER 200동일가중,+20,,-20,-20,,,,,,,
TIGER 200선물레버리지,-11267,+4988,+8026,+8026,,,,,,,-1747
TIGER 200선물인버스2X,+511918,-777240,+190228,+190228,,,,,,,+14555
TIGER 200에너지화학레버리지,-3331,,+4388,+5099,,-711,,,,,+20
TIGER 200커버드콜5%OTM,+1,,-1,-1,,,,,,,
TIGER 200커버드콜ATM,,,,,,,,,,,
TIGER AI코리아그로스액티브,+633,,-633,-633,,,,,,,
TIGER Fn신재생에너지,+50185,,-50257,-50257,,,,,,,
TIGER K게임,-223,,+223,+188,,,+35,,,,
TIGER MSCI KOREA ESG리더스,+391,,-391,-391,,,,,,,
TIGER S&P글로벌인프라(합성),-5560,,+5560,+5560,,,,,,,
